PICKING,VIN,MODELO,COLOR,DEALER,CLIENTE FINAL,PROVEDOR,UBICACIÓN ESUM,Fecha Despacho,Destino,REALIZADO,UBICACION VARI,Estado CC,QUE REPROCESO FALTA,REPROCESO PINTURA,REPROCESO REPUESTOS,TALLER,FUE CONVERTIDO A GLP,UBICACIÓN MAPEADA-APP,HORA REGISTRADA,ENTREGA-REVO Y ESSA,REVISION-REVO Y ESSA,OBSERVACION - REVO Y ESSA,ENTREGA-EMSA Y ASSA,REVISION-EMSA Y ASSA,OBSERVACION - EMSA Y ASSA
,LVTDB21B6TD914708,S09 1.6T 4X2 7DCT B,NEGRO,EXHIBICION AASA EN REVO,ALTOS ANDES,GRUPO 81,ZONA DE ESPERA ACONDICIONADO,14/3/2026,DESPACHO,NO,#REF!,-,-,PINTURA: ,REPUESTO: ,VARI BIRRAK,,Zona validación - FILA 10,2026-03-13T07:18:30.703Z,,,,,,
,LVTDB21B3VDC01321,X50 1.5T 4X2 6DCT LIMITED,NEGRO,VENTA AION 09/02/2026|,ALTOS ANDES,ALESE,LISTOS - REVISADO,14/3/2026,DESPACHO,NO,COLA DE LAVADO SUM ,Reproceso,Falta: Reproceso Pintura y Reproceso Repuestos,PINTURA: Abolladura en puerta copiloto | Abolladura en maletera | Carrocería rayada | Interior de puerta piloto rayado,REPUESTO: Falta la letras JETUR de maletera,VARI BIRRAK,,Isla 14,2026-03-13T07:18:42.177Z,,,,1era Entrega,Rechazado,"* carrocería rasyadura
*raspado moldura interior guarda fango DLH"
,LS4ASL2E0TE533161,"NEW V3 1,5 MEC CONFORT",PLATA,VENTA AUTOCAMIONES,ALTOS ANDES,CONTINENTAL,LISTOS - REVISADO,14/3/2026,DESPACHO,NO,SIN UBICACION BIRRAK ,Para validar,Completo,PINTURA: Corte en tapiz de piso post LH | Corte en tapiz de piso copiloto,REPUESTO: Pelado logo máscara,VARI BIRRAK,,Isla 14,2026-03-13T07:32:35.041Z,,,,,,
,LVTDB11B6VDC01226,X50 1.5L 4X2 5MT CONFORT,PLATA,VENTA AUTOCAMIONES,ALTOS ANDES,CONTINENTAL,LISTOS - REVISADO,14/3/2026,DESPACHO,NO,P8 A 6 G,Listo,Completo,PINTURA: ,REPUESTO: ,VARI BIRRAK,,Isla 14,2026-03-13T07:28:00.828Z,,,,,,
,LVTDB11B2VH500170,X70FL 1.5T 6MT 4X2 FULL,BLANCO,VENTA AUTOS DEL SUR GASOLINA 14.01|,ALTOS ANDES,GLOBAL CAR,LISTOS - REVISADO,14/3/2026,DESPACHO,NO,COLA DE LAVADO SUM ,Reproceso,Falta: Reproceso Pintura,PINTURA: Moldura de puerta piloto rayado,REPUESTO: ,VARI BIRRAK,,Isla 5,2026-03-13T07:32:22.178Z,,,,1era Entrega,Rechazado,Rayadura interior tapiz puerta piloto
,LVTDB11B8TH015352,X70FL 1.5T 6MT 4X2 FULL,AZUL,VENTA AUTOS DEL SUR,ALTOS ANDES,GLOBAL CAR,LISTOS - REVISADO,14/3/2026,DESPACHO,NO,COLA DE LAVADO SUM ,Listo,Completo,PINTURA: ,REPUESTO: ,VARI BIRRAK,,Despacho ,2026-03-13T07:30:45.520Z,,,,,,
,LVTDB11B3TDB50166,X50 1.5L 4X2 5MT CONFORT,PLATA,VENTA AUTOS DEL SUR,ALTOS ANDES,GLOBAL CAR,LISTOS - REVISADO,14/3/2026,DESPACHO,NO,COLA DE LAVADO SUM ,Reproceso,Falta: Reproceso Pintura,PINTURA: Puerta Del LH con abolladura | Moldura de parabrisa LH Rh con desperfecto | Cromo de máscara con desperfecto | Embellecedor de guarfango Pos LH con rayaduras,REPUESTO: ,VARI BIRRAK,,Isla 5,2026-03-13T07:26:37.707Z,,,,,,
,LVTDB11BXTDB50150,X50 1.5L 4X2 5MT CONFORT,BLANCO,VENTA AUTOS DELSUR,ALTOS ANDES,GLOBAL CAR,LISTOS - REVISADO,14/3/2026,DESPACHO,NO,PLATAFORMA 5 8 B,Listo,Completo,PINTURA: ,REPUESTO: ,VARI BIRRAK,,Despacho  - FILA 20,2026-03-13T07:37:15.869Z,,,,,,
,LVTDB11B5TDB49987,X50 1.5L 4X2 5MT CONFORT,BLANCO,VENTA AUTOS DEL SUR,ALTOS ANDES,GLOBAL CAR,LISTOS - REVISADO,14/3/2026,DESPACHO,NO,COLA DE LAVADO SUM ,Reproceso,Falta: Reproceso Pintura,PINTURA: Qñ aboll prta post lh ( por manija ) | Grumo estribo de piloto | Cromo con arañaduras,REPUESTO: ,VARI BIRRAK,,Pintura,2026-03-13T07:16:46.382Z,1era Entrega,Rechazado,"Grumo estribo piloto 
Cromo de mascara con arañaduras 
Carroceria pulverizada
Lavar unidad",,,
,9BWBH6BF9T4050923,T-CROSS EXTREME 200 TSI TIP,GRIS ASCOT - NEGRO,adelanto pdi - EXHIBICION PLAZA NORTE,EURO MOTORS,GRUPO 81,LISTOS - REVISADO,14/3/2026,DESPACHO,NO,,Listo,Completo,PINTURA: ,REPUESTO: ,VARI BIRRAK,,Zona revo,2026-03-13T10:44:08.076Z,,,,1era Entrega,,
,LS4ASL2E8TE533392,"NEW V5 1,5 MEC PLUS",BLANCO BEIGE,VENTA INTER TRUJILLO GLP,ALTOS ANDES,JULIO CRUZADO,LISTOS - REVISADO,14/3/2026,DESPACHO,NO,,Listo,Completo,PINTURA: ,REPUESTO: ,VARI BIRRAK,,Isla 14,2026-03-13T07:28:59.950Z,,,,1era Entrega,,
,LS4ASL2E8TE158491,NEW V7 1.6 MEC PLUS,BLANCO,ADELANTO PDI ZI - VENTA INTER TRUJILLO,ALTOS ANDES,JULIO CRUZADO,LISTOS - REVISADO,14/3/2026,DESPACHO,NO,,Reproceso,Falta: Reproceso Pintura y Reproceso Repuestos,PINTURA: Asiento y cabeceras posterior de última fila descolorido | Rydras en pantalla de radio | Filo de puerta delantera con grumo | Estribo de puerta delantera lh quiñado | Filo de puerta posterior RH raspado | Filo de puerta posterior RH raspado | Marco de puerta RH delantero raspado | Laterales de escalera con oxido | Techo LH Y RH con oxido | Interior de motor con oxido | Quiñe y pxido en filo de puerta corrediza lh | Abolladura en Capot,REPUESTO: Cromo de mascara careado | Logos de puerta de maletera careado | Neblinero RH y LH careado | Emblema delantero careado | Falta tope de plumilla RH | Falta llave rueda,VARI BIRRAK,,Isla 5,2026-03-13T16:00:15.453Z,,,,,Rechazado,Abolladura en  el capot
