PICKING,VIN,MODELO,COLOR,DEALER,CLIENTE FINAL,PROVEDOR,UBICACIÓN ESUM,Fecha Despacho,Destino,REALIZADO,UBICACION VARI,Estado CC,QUE REPROCESO FALTA,REPROCESO PINTURA,REPROCESO REPUESTOS,TALLER,FUE CONVERTIDO A GLP,UBICACIÓN MAPEADA-APP,HORA REGISTRADA,ENTREGA-REVO Y ESSA,REVISION-REVO Y ESSA,OBSERVACION - REVO Y ESSA,ENTREGA-EMSA Y ASSA,REVISION-EMSA Y ASSA,OBSERVACION - EMSA Y ASSA
,LVTDB21B3VDC01321,X50 1.5T 4X2 6DCT LIMITED,NEGRO,VENTA AION 09/02/2026|,ALTOS ANDES,ALESE,LISTOS - REVISADO,14/3/2026,DESPACHO,NO,#REF!,Reproceso,Falta: Reproceso Pintura y Reproceso Repuestos,PINTURA: Abolladura en puerta copiloto | Abolladura en maletera | Carrocería rayada | Interior de puerta piloto rayado,REPUESTO: Falta la letras JETUR de maletera,VARI BIRRAK,,Isla 14,2026-03-13T07:18:42.177Z,,,,1era Entrega,Rechazado,"* carrocería rasyadura
*raspado moldura interior guarda fango DLH"
,LS4ASL2E0TE533161,"NEW V3 1,5 MEC CONFORT",PLATA,VENTA AUTOCAMIONES,ALTOS ANDES,CONTINENTAL,LISTOS - REVISADO,14/3/2026,DESPACHO,PREPARADO,SIN UBICACION BIRRAK ,Para validar,Completo,PINTURA: Corte en tapiz de piso post LH | Corte en tapiz de piso copiloto,REPUESTO: Pelado logo máscara,VARI BIRRAK,,Isla 14,2026-03-13T07:32:35.041Z,,,,,,
,LVTDB11B6VDC01226,X50 1.5L 4X2 5MT CONFORT,PLATA,VENTA AUTOCAMIONES,ALTOS ANDES,CONTINENTAL,LISTOS - REVISADO,14/3/2026,DESPACHO,NO,P8 A 6 G,Listo,Completo,PINTURA: ,REPUESTO: ,VARI BIRRAK,,Isla 14,2026-03-13T07:28:00.828Z,,,,,,
,LVTDB11B2VH500170,X70FL 1.5T 6MT 4X2 FULL,BLANCO,VENTA AUTOS DEL SUR GASOLINA 14.01|,ALTOS ANDES,GLOBAL CAR,LISTOS - REVISADO,14/3/2026,DESPACHO,PREPARADO,COLA DE LAVADO SUM ,Reproceso,Falta: Reproceso Pintura,PINTURA: Moldura de puerta piloto rayado,REPUESTO: ,VARI BIRRAK,,Isla 5,2026-03-13T07:32:22.178Z,,,,1era Entrega,Rechazado,Rayadura interior tapiz puerta piloto
,LVTDB21B4TDB38081,T1 1.5T 4X2 7DCT B/GN,NEGRO,PDI AUSPICIO,ALTOS ANDES,GRUPO 81,ZONA,13/3/2026,DESPACHO,PREPARADO,COLA DE LAVADO SUM ,Listo,Completo,PINTURA: Rayadura en interior de puerta piloto parte baja | Mancha blanca en embellecedor negro de mascara delantera LH | Tratamiento de pintura,REPUESTO: ,-,,Isla 14,2026-03-13T16:17:02.117Z,,,,2da Entrega,Aceptado,
,LVTDD24B0TDB38231,T1 2.0T AWD 8AT B/O,DORADO,PDI AUSPICIO,ALTOS ANDES,GRUPO 81,DESPACHO,13/3/2026,DESPACHO,NO,COLA DE LAVADO SUM ,Reproceso,Falta: Reproceso Pintura,PINTURA: Qñ base parabrisa rh | Spoiler con manchas ( pulir ) lh y rh,REPUESTO: ,-,,"Mapeado, pero sin zona",2026-03-13T09:05:21.138Z,,,,2da Entrega,Aceptado,
,LVTDD24B2TDB38215,T1 2.0T AWD 8AT B/O,NEGRO,PDI AUSPICIO,ALTOS ANDES,GRUPO 81,LISTOS - REVISADO,13/3/2026,DESPACHO,NO,COLA DE LAVADO SUM ,Reproceso,Falta: Reproceso Pintura,PINTURA: Abolls  prta maletera,REPUESTO: ,-,,Isla 14,2026-03-13T16:17:33.121Z,,,,2da Entrega,Aceptado,
,LS4ASL2E8TE533392,"NEW V5 1,5 MEC PLUS",BLANCO BEIGE,VENTA INTER TRUJILLO GLP,ALTOS ANDES,JULIO CRUZADO,LISTOS - REVISADO,14/3/2026,DESPACHO,PREPARADO,COLA DE LAVADO SUM ,Listo,Completo,PINTURA: ,REPUESTO: ,VARI BIRRAK,,Isla 14,2026-03-13T07:28:59.950Z,,,,1era Entrega,,
,LS4ASL2E8TE158491,NEW V7 1.6 MEC PLUS,BLANCO,ADELANTO PDI ZI - VENTA INTER TRUJILLO,ALTOS ANDES,JULIO CRUZADO,LISTOS - REVISADO,14/3/2026,DESPACHO,NO,TARJA ,Reproceso,Falta: Reproceso Pintura y Reproceso Repuestos,PINTURA: Asiento y cabeceras posterior de última fila descolorido | Rydras en pantalla de radio | Filo de puerta delantera con grumo | Estribo de puerta delantera lh quiñado | Filo de puerta posterior RH raspado | Filo de puerta posterior RH raspado | Marco de puerta RH delantero raspado | Laterales de escalera con oxido | Techo LH Y RH con oxido | Interior de motor con oxido | Quiñe y pxido en filo de puerta corrediza lh | Abolladura en Capot,REPUESTO: Cromo de mascara careado | Logos de puerta de maletera careado | Neblinero RH y LH careado | Emblema delantero careado | Falta tope de plumilla RH | Falta llave rueda,VARI BIRRAK,,Isla 5,2026-03-13T16:00:15.453Z,,,,,Rechazado,Abolladura en  el capot
,LSCABN3E0TE144308,NEW X5 1.5 MEC CARGO BOX,BLANCO,VENTA INTER TRUJILLO,ALTOS ANDES,JULIO CRUZADO,LISTOS - REVISADO,14/3/2026,DESPACHO,PREPARADO,,Listo,Completo,PINTURA: ,REPUESTO: ,VARI BIRRAK,,Isla 14,2026-03-13T08:04:07.552Z,,,,1era Entrega,,
